image_name,new_x,new_y,new_w,new_h
ISIC_0024370,47,0,495,376
ISIC_0024371,0,0,640,450
ISIC_0024372,12,0,562,450
ISIC_0024373,92,68,385,316
ISIC_0024374,45,0,447,450
ISIC_0024375,182,189,117,105
ISIC_0024376,155,84,307,295
ISIC_0024377,220,156,257,219
ISIC_0024378,285,184,70,73
ISIC_0024379,25,56,420,376
ISIC_0024380,77,73,432,291
ISIC_0024381,0,0,640,450
ISIC_0024382,12,8,627,400
ISIC_0024383,50,0,537,450
ISIC_0024384,75,161,342,240
ISIC_0024385,255,0,307,210
ISIC_0024386,0,0,640,450
ISIC_0024387,235,159,185,131
ISIC_0024388,0,0,640,450
ISIC_0024389,227,108,230,174
ISIC_0024390,0,0,640,450
ISIC_0024391,190,221,125,131
ISIC_0024392,42,38,517,411
ISIC_0024393,192,45,222,295
ISIC_0024394,0,0,640,450
ISIC_0024395,0,0,575,450
ISIC_0024396,192,105,247,228
ISIC_0024397,0,0,640,450
ISIC_0024398,200,100,267,307
ISIC_0024399,137,0,440,400
ISIC_0024400,0,0,640,450
ISIC_0024401,82,0,430,450
ISIC_0024402,245,152,180,156
ISIC_0024403,87,63,457,346
ISIC_0024404,302,117,180,253
ISIC_0024405,87,75,335,307
ISIC_0024406,147,84,352,284
ISIC_0024407,187,80,280,258
ISIC_0024408,182,93,265,261
ISIC_0024409,242,166,145,151
ISIC_0024410,120,89,390,223
ISIC_0024411,0,0,640,450
ISIC_0024412,72,56,422,393
ISIC_0024413,52,10,477,291
ISIC_0024414,65,0,502,450
ISIC_0024415,0,0,640,450
ISIC_0024416,282,200,115,114
ISIC_0024417,160,117,332,307
ISIC_0024418,227,100,220,205
ISIC_0024419,37,168,292,281
ISIC_0024420,57,5,542,402
ISIC_0024421,0,0,640,420
ISIC_0024422,15,75,572,297
ISIC_0024423,145,91,317,358
ISIC_0024424,0,0,640,450
ISIC_0024425,95,54,420,356
ISIC_0024426,0,0,640,450
ISIC_0024427,50,0,482,450
ISIC_0024428,30,54,412,390
ISIC_0024429,0,17,640,432
ISIC_0024430,125,63,385,386
ISIC_0024431,0,0,640,450
ISIC_0024432,0,0,640,450
ISIC_0024433,20,116,362,193
ISIC_0024434,62,91,422,290
ISIC_0024435,120,82,367,295
ISIC_0024436,85,84,440,279
ISIC_0024437,220,135,180,168
ISIC_0024438,7,0,632,450
ISIC_0024439,0,0,640,450
ISIC_0024440,25,0,582,450
ISIC_0024441,60,17,555,432
ISIC_0024442,80,56,510,314
ISIC_0024443,0,0,640,450
ISIC_0024444,80,14,402,346
ISIC_0024445,180,82,325,249
ISIC_0024446,0,0,640,450
ISIC_0024447,192,98,295,290
ISIC_0024448,0,36,640,413
ISIC_0024449,0,0,640,450
ISIC_0024450,0,0,640,450
ISIC_0024451,0,0,640,450
ISIC_0024452,47,63,542,358
ISIC_0024453,47,24,502,409
ISIC_0024454,0,0,640,450
ISIC_0024455,270,15,232,274
ISIC_0024456,115,47,362,397
ISIC_0024457,2,0,637,450
ISIC_0024458,2,0,637,450
ISIC_0024459,0,0,640,450
ISIC_0024460,135,0,285,450
ISIC_0024461,22,1,562,432
ISIC_0024462,0,0,640,450
ISIC_0024463,0,0,640,450
ISIC_0024464,45,0,525,450
ISIC_0024465,15,0,597,450
ISIC_0024466,32,28,545,420
ISIC_0024467,177,29,230,298
ISIC_0024468,0,0,640,450
ISIC_0024469,67,0,507,450
ISIC_0024470,0,0,640,450
ISIC_0024471,0,0,640,450
ISIC_0024472,62,0,517,450
ISIC_0024473,85,98,430,351
ISIC_0024474,0,0,640,450
ISIC_0024475,212,130,245,225
ISIC_0024476,0,43,640,406
ISIC_0024477,0,0,640,450
ISIC_0024478,32,0,500,365
ISIC_0024479,120,75,387,304
ISIC_0024480,55,0,572,450
ISIC_0024481,140,72,352,309
ISIC_0024482,0,0,640,450
ISIC_0024483,102,15,385,402
ISIC_0024484,0,0,640,446
ISIC_0024485,102,36,267,265
ISIC_0024486,0,0,640,450
ISIC_0024487,195,114,267,297
ISIC_0024488,45,86,385,356
ISIC_0024489,0,0,640,450
ISIC_0024490,0,0,640,450
ISIC_0024491,0,0,640,450
ISIC_0024492,200,49,215,265
ISIC_0024493,0,0,640,450
ISIC_0024494,35,0,575,450
ISIC_0024495,187,121,230,198
ISIC_0024496,105,0,387,450
ISIC_0024497,87,35,432,404
ISIC_0024498,137,8,395,441
ISIC_0024499,77,0,367,413
ISIC_0024500,195,103,262,277
ISIC_0024501,207,0,325,450
ISIC_0024502,122,42,300,309
ISIC_0024503,82,96,415,291
ISIC_0024504,382,147,257,302
ISIC_0024505,80,12,422,437
ISIC_0024506,207,124,320,325
ISIC_0024507,95,24,422,425
ISIC_0024508,0,0,640,450
ISIC_0024509,150,0,282,450
ISIC_0024510,185,0,422,450
ISIC_0024511,152,0,487,450
ISIC_0024512,57,0,432,450
ISIC_0024513,92,0,442,450
ISIC_0024514,112,7,387,383
ISIC_0024515,0,0,640,450
ISIC_0024516,5,0,622,450
ISIC_0024517,105,54,415,370
ISIC_0024518,0,0,640,450
ISIC_0024519,197,103,262,217
ISIC_0024520,22,0,617,450
ISIC_0024521,0,0,640,450
ISIC_0024522,0,0,640,450
ISIC_0024523,0,0,640,450
ISIC_0024524,195,114,230,205
ISIC_0024525,60,0,527,450
ISIC_0024526,122,124,500,286
ISIC_0024527,52,0,432,450
ISIC_0024528,142,65,350,304
ISIC_0024529,35,0,547,413
ISIC_0024530,147,138,407,203
ISIC_0024531,62,124,422,284
ISIC_0024532,80,54,355,321
ISIC_0024533,62,94,352,279
ISIC_0024534,0,0,640,450
ISIC_0024535,0,0,640,450
ISIC_0024536,60,14,490,435
ISIC_0024537,92,0,475,450
ISIC_0024538,0,0,640,450
ISIC_0024539,40,0,535,450
ISIC_0024540,135,107,367,216
ISIC_0024541,182,135,292,228
ISIC_0024542,235,40,175,193
ISIC_0024543,0,0,640,409
ISIC_0024544,0,0,640,450
ISIC_0024545,92,77,510,372
ISIC_0024546,37,0,562,450
ISIC_0024547,32,8,607,441
ISIC_0024548,42,189,285,196
ISIC_0024549,0,0,640,450
ISIC_0024550,0,0,640,450
ISIC_0024551,52,0,517,450
ISIC_0024552,0,0,640,450
ISIC_0024553,0,0,640,450
ISIC_0024554,0,0,640,450
ISIC_0024555,117,117,212,260
ISIC_0024556,95,0,267,253
ISIC_0024557,17,0,560,450
ISIC_0024558,0,0,640,450
ISIC_0024559,115,0,477,450
ISIC_0024560,105,94,535,265
ISIC_0024561,232,123,282,254
ISIC_0024562,100,0,495,450
ISIC_0024563,42,0,535,446
ISIC_0024564,0,0,640,450
ISIC_0024565,90,108,360,341
ISIC_0024566,0,0,640,450
ISIC_0024567,157,112,335,337
ISIC_0024568,192,50,292,321
ISIC_0024569,100,10,405,434
ISIC_0024570,0,0,640,450
ISIC_0024571,0,0,640,450
ISIC_0024572,110,26,530,423
ISIC_0024573,0,0,640,450
ISIC_0024574,157,116,327,309
ISIC_0024575,0,0,640,450
ISIC_0024576,52,116,402,175
ISIC_0024577,162,87,310,261
ISIC_0024578,117,65,387,319
ISIC_0024579,0,0,632,450
ISIC_0024580,67,58,332,391
ISIC_0024581,0,0,640,450
ISIC_0024582,0,0,640,450
ISIC_0024583,0,0,640,450
ISIC_0024584,60,10,537,416
ISIC_0024585,72,0,437,450
ISIC_0024586,220,116,210,184
ISIC_0024587,0,0,640,450
ISIC_0024588,65,7,422,413
ISIC_0024589,42,0,527,450
ISIC_0024590,0,72,582,358
ISIC_0024591,195,0,390,414
ISIC_0024592,0,0,640,450
ISIC_0024593,0,0,640,450
ISIC_0024594,205,124,280,205
ISIC_0024595,22,0,617,450
ISIC_0024596,115,29,425,397
ISIC_0024597,157,137,352,260
ISIC_0024598,87,10,285,237
ISIC_0024599,172,130,310,225
ISIC_0024600,32,58,590,391
ISIC_0024601,37,0,495,267
ISIC_0024602,205,147,202,163
ISIC_0024603,55,130,562,284
ISIC_0024604,250,170,107,94
ISIC_0024605,137,7,312,328
ISIC_0024606,12,26,582,423
ISIC_0024607,195,0,377,450
ISIC_0024608,0,0,640,450
ISIC_0024609,7,0,632,450
ISIC_0024610,205,91,262,235
ISIC_0024611,0,0,640,450
ISIC_0024612,200,105,272,253
ISIC_0024613,162,87,220,168
ISIC_0024614,45,100,570,349
ISIC_0024615,232,161,140,126
ISIC_0024616,0,0,640,450
ISIC_0024617,0,3,640,446
ISIC_0024618,0,0,640,450
ISIC_0024619,0,0,640,450
ISIC_0024620,22,65,605,328
ISIC_0024621,80,52,502,370
ISIC_0024622,77,24,467,384
ISIC_0024623,0,0,640,450
ISIC_0024624,162,98,295,253
ISIC_0024625,42,36,597,409
ISIC_0024626,102,59,442,316
ISIC_0024627,60,0,552,446
ISIC_0024628,250,123,167,210
ISIC_0024629,0,0,640,397
ISIC_0024630,0,0,640,450
ISIC_0024631,132,91,390,302
ISIC_0024632,77,58,457,328
ISIC_0024633,197,49,265,297
ISIC_0024634,0,0,640,450
ISIC_0024635,0,0,640,450
ISIC_0024636,0,0,640,450
ISIC_0024637,0,0,640,450
ISIC_0024638,132,12,380,397
ISIC_0024639,110,47,345,390
ISIC_0024640,0,0,640,450
ISIC_0024641,260,107,240,323
ISIC_0024642,247,179,177,114
ISIC_0024643,35,110,605,295
ISIC_0024644,0,0,640,450
ISIC_0024645,67,10,562,395
ISIC_0024646,60,0,580,444
ISIC_0024647,0,0,640,450
ISIC_0024648,0,0,640,450
ISIC_0024649,207,145,255,249
ISIC_0024650,0,56,590,393
ISIC_0024651,40,0,500,450
ISIC_0024652,0,0,640,450
ISIC_0024653,252,19,385,365
ISIC_0024654,0,0,640,450
ISIC_0024655,55,12,527,437
ISIC_0024656,65,0,477,450
ISIC_0024657,82,65,450,365
ISIC_0024658,27,0,612,450
ISIC_0024659,30,0,610,450
ISIC_0024660,107,0,332,274
ISIC_0024661,52,0,530,450
ISIC_0024662,0,0,610,450
ISIC_0024663,320,145,202,216
ISIC_0024664,272,168,107,123
ISIC_0024665,167,72,332,358
ISIC_0024666,170,47,320,358
ISIC_0024667,62,0,472,311
ISIC_0024668,252,75,205,284
ISIC_0024669,45,145,420,172
ISIC_0024670,110,12,237,341
ISIC_0024671,200,72,320,249
ISIC_0024672,57,26,565,423
ISIC_0024673,40,0,495,450
ISIC_0024674,0,0,640,450
ISIC_0024675,292,181,75,82
ISIC_0024676,0,0,640,450
ISIC_0024677,82,0,510,450
ISIC_0024678,262,100,362,272
ISIC_0024679,27,0,600,450
ISIC_0024680,145,70,325,298
ISIC_0024681,72,0,547,450
ISIC_0024682,15,17,625,432
ISIC_0024683,240,159,160,156
ISIC_0024684,0,0,640,450
ISIC_0024685,0,54,640,333
ISIC_0024686,37,28,422,370
ISIC_0024687,10,38,580,411
ISIC_0024688,117,0,460,450
ISIC_0024689,165,75,345,283
ISIC_0024690,0,0,640,450
ISIC_0024691,0,0,640,450
ISIC_0024692,0,0,640,450
ISIC_0024693,0,0,640,450
ISIC_0024694,75,0,460,450
ISIC_0024695,0,0,640,450
ISIC_0024696,0,0,640,450
ISIC_0024697,0,0,640,450
ISIC_0024698,220,110,202,203
ISIC_0024699,92,0,477,450
ISIC_0024700,0,0,640,450
ISIC_0024701,0,0,640,450
ISIC_0024702,0,0,640,450
ISIC_0024703,35,0,502,450
ISIC_0024704,260,184,187,137
ISIC_0024705,0,77,640,372
ISIC_0024706,105,80,450,225
ISIC_0024707,0,0,640,450
ISIC_0024708,0,54,617,326
ISIC_0024709,10,0,630,450
ISIC_0024710,0,0,640,450
ISIC_0024711,95,29,545,369
ISIC_0024712,225,121,175,184
ISIC_0024713,100,0,510,450
ISIC_0024714,245,140,170,154
ISIC_0024715,80,110,442,261
ISIC_0024716,197,135,275,205
ISIC_0024717,215,70,312,307
ISIC_0024718,70,56,537,393
ISIC_0024719,180,0,447,421
ISIC_0024720,0,24,640,425
ISIC_0024721,50,0,590,450
ISIC_0024722,92,0,475,450
ISIC_0024723,17,0,587,450
ISIC_0024724,52,0,542,450
ISIC_0024725,117,40,370,370
ISIC_0024726,165,47,355,393
ISIC_0024727,145,131,370,318
ISIC_0024728,37,0,507,333
ISIC_0024729,97,45,432,341
ISIC_0024730,180,121,275,179
ISIC_0024731,117,68,385,319
ISIC_0024732,120,0,407,450
ISIC_0024733,0,0,640,450
ISIC_0024734,107,108,332,254
ISIC_0024735,87,0,407,441
ISIC_0024736,17,0,617,450
ISIC_0024737,257,63,227,316
ISIC_0024738,47,19,342,377
ISIC_0024739,0,0,640,450
ISIC_0024740,142,126,360,242
ISIC_0024741,0,0,640,450
ISIC_0024742,62,80,312,230
ISIC_0024743,7,19,580,430
ISIC_0024744,27,12,582,397
ISIC_0024745,82,0,447,450
ISIC_0024746,0,0,640,450
ISIC_0024747,155,82,337,247
ISIC_0024748,122,35,362,335
ISIC_0024749,117,0,425,450
ISIC_0024750,35,12,307,344
ISIC_0024751,0,0,640,450
ISIC_0024752,0,0,640,450
ISIC_0024753,177,75,310,323
ISIC_0024754,0,0,640,450
ISIC_0024755,160,0,380,390
ISIC_0024756,62,17,432,432
ISIC_0024757,40,63,530,323
ISIC_0024758,80,103,390,277
ISIC_0024759,107,24,372,360
ISIC_0024760,187,66,342,356
